Mutation.Type	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17
DEL_C_1_0	1.59889e-4	0.004824116	0.124727109	0.007249717	0.022202108	0.030506799	4.66561e-4	0.039827558	0.334939881	0.025105414	0.001576565	0.052787741	0.065548371	0.012016009	0.026527369337078	9.52768885842137e-4	0.00611759853519847
DEL_C_1_1	7.73523e-4	2.21e-5	0.208876169	0.002734869	0.028547215	0.005491903	0	0.023915938	0.099994226	0.02930632	5.50318e-4	0.014674665	0.017536463	0.001946232	0.12100978700592	2.63915642267698e-18	0.00366755530652
DEL_C_1_2	3.31e-18	3.11e-6	0.176324217	0.002041063	0.026596927	0.008033994	0.008561945	0.003330554	0.002690655	0.018804056	3.57338e-4	5.61932e-4	0.005120219	6.83696e-4	0.147828864433683	8.1541662061712e-5	0.00122032669693285
DEL_C_1_3	0.001907613	0.002472076	0.064042764	0.001112283	0.014159122	0.001102379	0.042360147	0.005403153	0.010625416	0.01650356	9.08e-18	9.95577e-4	0.005350516	4.87468e-4	0.136006057901119	0.00162491353986988	2.25926833737838e-8
DEL_C_1_4	7.0599e-4	0.003856976	0.043989808	0.001075684	0.002873422	0.00247817	0.114891909	0.001275709	0.012496902	0.002930632	9.08e-18	0.00224005	0.004346005	0.002071921	0.0841976961066638	0.00337864255670055	1.94094358196916e-8
DEL_C_1_5+	0.003370115	0.014615424	0.022417486	0.002246178	0.002602449	0.001322073	0.251763142	9.33729e-4	4.48e-5	8.42e-18	1.56465e-4	0.029410808	8.43056e-4	0.002370276	0.0184582927326813	2.65063753759673e-18	0.00122093334450846
DEL_T_1_0	0.001311605	0.007905966	0.03759923	0.006635052	0.101481149	0.004284162	0.00266749	0.034243687	0.105105373	0.028306105	9.44206e-4	0.045135118	0.053698762	0.018309803	0.0239516368486624	6.28649514543184e-4	0.0060883465666712
DEL_T_1_1	3.31e-18	3.95e-18	0.013309824	0.001622466	0.106099611	6.77688e-4	0.007732725	0.010452076	0.044293641	8.42e-18	2.58505e-4	1.42e-17	0.498224168	8.52559e-4	0.0799601100183372	1.57040098524865e-4	0.00490319649725692
DEL_T_1_2	9.36453e-4	0.007036418	0.016501851	0.002633405	0.114128464	0.011659665	2.5476e-4	0.00899203	0.085861956	0.001510326	5.16519e-4	0.010969204	0.023777805	0.010856423	0.120410466467629	2.65806380183744e-18	0.00122548208393169
DEL_T_1_3	0.002295855	0.020234743	0.020141477	3.06038e-4	0.088962208	0.022242391	0.028972742	0.009825045	0.113250663	0.001420306	4.2568e-4	0.022109366	0.062780952	0.01718395	0.113431215342833	2.6607938700793e-18	0.00122381019049612
DEL_T_1_4	0.004291422	0.047119925	0.015814364	0.001023202	0.052259532	0.017697141	0.158850553	0.00127378	0.094412737	0.00241052	0.001932451	0.044077964	0.023004382	0.013347903	0.079178831808195	0.00100165069513296	1.34150268406511e-9
DEL_T_1_5+	3.31e-18	0.814697222	0.008066314	1.54442e-4	0.030610523	0.007954345	1.92e-7	0.010620342	9.29835e-4	1.27e-17	0.006539395	3.48512e-4	0.006079575	0.038616999	0.046903214753917	2.79097673434101e-18	4.62677534678498e-8
INS_C_1_0	3.31e-18	3.95e-18	0.002083092	6.62e-18	5.42252e-4	0.002086887	6.72367e-4	0.002764271	5.41e-18	8.42e-18	1.86238e-4	1.42e-17	0.002850428	0.454386955	6.58004610552164e-18	0.0602713372040219	0.00487811801329939
INS_C_1_1	3.31e-18	2.27026e-4	0.001578887	2.72399e-4	0.001242898	0.001773433	2.62e-5	0.002169119	1.93e-6	3.45074e-4	0.163482884	1.67697e-4	0.001652256	0.012777431	6.58004610552164e-18	0.136484095403874	0.0147671987268637
INS_C_1_2	3.31e-18	2.62e-5	0.001747946	6.88e-5	0.003151667	2.46169e-4	2.58e-5	0.001527	3.52623e-4	2.72059e-4	0.093738843	0.001596586	8.2125e-4	6.5885e-4	6.58004610552164e-18	0.124683558062386	0.0292604047473039
INS_C_1_3	8.45986e-4	4.3005e-4	0.006177647	5.12481e-4	6.02848e-4	2.32169e-4	0.002407735	1.16524e-4	5.41e-18	0.002580556	0.03617564	4.50319e-4	3.75555e-4	0.001564403	6.58004610552164e-18	0.0988831205554055	0.0492545218208812
INS_C_1_4	0.001785525	0.002911846	0.007104447	6.62e-18	1.97582e-4	3.76592e-4	0.015485431	5.54177e-4	2.16e-6	4.11089e-4	0.011189789	0.00439393	1.48578e-4	0.001539502	6.58004610552164e-18	0.0620943792528956	0.024538407850484
INS_C_1_5+	0.024296536	0.009017536	0.007351101	2.49143e-4	4.33544e-4	2.47997e-4	0.060343229	4.89489e-4	7.37e-5	8.51184e-4	0.003412242	0.01705149	7.06981e-4	0.002292999	6.58004610552164e-18	0.0310346026384888	0.00979050282269531
INS_T_1_0	0.002283824	0.001328556	0.018722365	3.33665e-4	0.006361965	0.006396251	1.36e-6	0.004507979	0.012614484	0.017003667	4.06945e-4	0.004265301	0.041137013	0.032612007	6.58004610552164e-18	0.0301942868072769	0.00489279435946823
INS_T_1_1	4.03e-5	3.95e-18	0.043119029	0.001010044	0.013462697	0.001041187	3.73648e-4	0.004868696	0.010385274	0.043809449	0.314277276	0.002496518	0.004748853	0.003165883	6.58004610552164e-18	0.103160227092233	0.0388936407223243
INS_T_1_2	1.92865e-4	6.47033e-4	0.04015704	1.06e-5	0.029721144	7.38848e-4	0.018382706	0.001429636	0.002314663	0.003650787	0.161807823	1.42e-17	0.003054171	0.001774606	6.58004610552164e-18	0.108738482879835	0.0439246079078755
INS_T_1_3	0.004243267	0.001082879	0.025125434	1.73935e-4	0.01884025	9.30638e-4	0.008891635	0.001087286	0.001600885	0.003750809	0.107725327	1.05674e-4	0.009271857	0.001173836	6.58004610552164e-18	0.100939445323406	0.00487209062147903
INS_T_1_4	0.016649127	0.003487461	0.006563305	1.6e-5	0.011268752	0.001349852	0.012787969	8.22618e-4	0.001585355	9.66e-6	0.04903068	3.3648e-4	0.012098641	0.004784999	6.58004610552164e-18	0.0519623764470054	0.00490348556483425
INS_T_1_5+	0.890906464	0.003132585	0.026181239	8.32926e-4	0.001439215	0.014390041	0.010789849	0.020161248	0.00577248	1.11e-8	0.023629043	1.6655e-4	0.011099794	0.232747553	6.58004610552164e-18	0.0350076858492558	0.00487382956865314
DEL_repeats_2_0	6.86046e-4	1.63809e-4	0.006897553	0.071724214	0.028054407	0.001783647	2.33e-5	0.008769219	0.013174747	8.39181e-4	9.08e-18	0.006268105	0.022184399	6.61996e-4	6.58004610552164e-18	0.00192294222546196	0.0146820538320339
DEL_repeats_2_1	0.001219969	0.003568885	0.008474654	0.23051288	0.024562729	0.002454347	0.008182302	0.010307145	0.003198541	0.009472042	0.001363099	2.78425e-4	0.004333215	0.006600036	6.58004610552164e-18	0.00201464612586734	0.00853595089340418
DEL_repeats_2_2	4.72749e-4	0.001849574	0.011800641	0.055059396	0.004562618	0.0020886	0.008991541	5.32026e-4	0.001189697	0.006541411	1.50729e-4	0.001398167	0.003108924	0.00270193	6.58004610552164e-18	0.001116794298881	1.46002268078368e-8
DEL_repeats_2_3	4.2672e-4	7.39044e-4	0.006671125	0.012811006	3.95919e-4	5.25746e-4	0.072132138	2.71e-5	9.59e-5	1.8504e-4	9.08e-18	6.7331e-4	1.05566e-4	3.92799e-4	6.58004610552164e-18	4.72257144989337e-4	3.49583154490229e-8
DEL_repeats_2_4	5.46e-5	8.81932e-4	0.002822525	0.003219218	8.67563e-4	2.32527e-4	0.052250842	2.74027e-4	5.41e-18	8.42e-18	9.13e-6	0.011980739	6.13e-6	1.41e-6	6.58004610552164e-18	3.88261199448798e-5	4.34453853127852e-8
DEL_repeats_2_5+	3.31e-18	4.67e-18	1.01239e-4	0.002382721	0.02142678	2.15685e-4	0.057046331	8.33079e-4	5.41e-18	8.42e-18	0.004527713	0.251519845	6.63e-5	4.37e-5	6.58004610552164e-18	2.64064568478846e-18	3.88695242109537e-8
DEL_repeats_3_0	1.28045e-4	1.25e-5	5.89124e-4	0.005068954	0.01713637	0.001051047	6.25412e-4	0.010964101	0.002858095	0.001200259	1.89442e-4	0.007599859	0.003039667	0.001146659	6.58004610552164e-18	0.00106014137936679	0.00855857290020103
DEL_repeats_3_1	0.005011085	0.005003258	3.72386e-4	0.097114466	0.005909794	0.005413653	0.011689003	0.001348867	0.00430191	0.042709211	3.90863e-4	5.69429e-4	0.001186963	0.004840165	6.58004610552164e-18	0.00232592325104706	0.00244544588016729
DEL_repeats_3_2	7.69383e-4	0.002289891	9.63e-5	0.021484282	8.4271e-4	5.36054e-4	0.005474849	3.76571e-4	0.001275717	0.005061091	1.70422e-4	0.002680339	3.84379e-4	0.001053481	9.35232649418986e-5	0.00115037509281033	3.41157810969492e-8
DEL_repeats_3_3	3.71256e-4	4.02587e-4	2.45e-5	0.003837627	6.21155e-4	4.7e-5	0.003456748	2.53509e-4	3.0211e-4	0.002730589	1.27576e-4	0.005920051	6.9e-5	2.49605e-4	6.58004610552164e-18	1.20553148361788e-4	1.98537113438362e-8
DEL_repeats_3_4	3.31e-18	3.97e-18	3.82e-6	7.86295e-4	0.005867075	7.31e-5	4.92537e-4	2.68e-6	5.41e-18	8.42e-18	0.001202108	0.068622143	3.09e-6	9.19e-18	6.58004610552164e-18	1.60702399271993e-5	2.13065194170608e-8
DEL_repeats_3_5+	3.31e-18	3.95e-18	3.83e-7	0.001138609	0.008378911	1.50616e-4	4.36589e-4	9.1e-5	5.41e-18	8.42e-18	0.001742363	0.097480944	9.96e-5	9.19e-18	6.58004610552164e-18	9.5808476364924e-6	4.51480725749292e-8
DEL_repeats_4_0	9.97e-5	1.21e-5	1.77645e-4	0.007252429	0.010791265	0.002315098	1.30877e-4	0.006691309	0.001432774	0.001470317	9.08e-18	0.001734516	0.002155349	1.93687e-4	6.58004610552164e-18	6.98912463470956e-4	0.00610958539657406
DEL_repeats_4_1	9.00503e-4	0.002115787	6.34573e-4	0.06352373	0.002843569	0.002806729	0.003396804	0.001622955	0.004594217	5.21112e-4	3.55504e-4	0.002302595	2.3e-5	6.17337e-4	6.58004610552164e-18	4.2629598802982e-4	1.55350861485771e-8
DEL_repeats_4_2	3.23e-6	5.43292e-4	1.16799e-4	0.014548922	1.64644e-4	4.7449e-4	0.002777387	2.72623e-4	8.96024e-4	7.5e-5	9.08e-18	6.11679e-4	7.92e-5	5.24295e-4	6.58004610552164e-18	7.83497537232868e-5	3.82649435383251e-8
DEL_repeats_4_3	3.31e-18	7.27e-6	4.12e-18	0.004554752	0.003877814	2.91345e-4	4.39586e-4	2.88e-5	2.38e-5	1.32028e-4	3.12137e-4	0.039259058	3.92e-5	5.03e-5	1.39447221625922e-6	2.63651088832343e-18	1.46064127217749e-8
DEL_repeats_4_4	3.31e-18	3.95e-18	4.12e-18	8.49679e-4	0.004557254	1.10576e-4	2.0181e-4	9.73e-5	5.41e-18	8.42e-18	6.87366e-4	0.053287873	9.47e-6	7.73e-6	6.58004610552164e-18	2.6309868244796e-6	3.1937229480471e-9
DEL_repeats_4_5+	2.89e-5	2.10413e-4	2.83e-6	6.1078e-4	0.001584436	5.68e-5	2.50764e-4	6.34e-6	1.37e-5	2.09045e-4	1.57603e-4	0.018644449	6.3e-5	9.19e-18	1.7594366617604e-6	2.63797428510975e-18	4.43808926111075e-9
DEL_repeats_5+_0	8.35e-6	3.85e-5	0.001776785	0.004132826	0.018447949	0.019333291	8.55e-5	0.237978863	7.72052e-4	0.0013903	0.001281454	0.003382885	0.020097536	0.006086814	2.84018024499145e-4	0.00556879013589966	0.0233963755718201
DEL_repeats_5+_1	1.90676e-4	0.002977512	7.41e-5	0.015718533	4.10335e-4	0.007501825	0.003476729	5.72257e-4	4.79551e-4	0.026205652	4.74634e-4	0.002797035	0.002980534	3.14462e-4	6.58004610552164e-18	1.10240786487051e-4	1.91584159796717e-8
DEL_repeats_5+_2	1.26355e-4	3.97525e-4	2.78e-6	0.0023438450000000002	4.70925e-4	3.70524e-4	0.0011689	5.16838e-4	2.64969e-4	0.001770382	9.08e-18	0.005103842	6.99e-5	2.13e-5	6.58004610552164e-18	1.54338573933316e-5	4.85820225219303e-8
